siteid,time,InteriorLighting,Ventilation,Heating,Cooking,Electronics,HeatCool,Refrigeration,Service,Total,Panel,WaterHeating,Appliances,ExteriorLighting,Miscellaneous,Cooling
21143,2012-04-01 00:00:00,0.0,0.0,0.0,0.0,0.055002212599999996,0.0,0.0482416666,0.5,0.5,0.0,0.0,0.09110799979999999,0.0,0.0,0.0
21143,2012-04-01 01:00:00,0.0,0.0,0.0,0.0,0.0552120208,0.02,0.0024725,1.06,1.06,0.0,0.58,0.0749066666,0.0,0.0,0.0
21143,2012-04-01 02:00:00,0.0,0.0,0.0,0.0,0.055994033799999995,0.02,0.0476175,0.54,0.54,0.0,0.0,0.0958033334,0.0,0.0,0.0
21143,2012-04-01 03:00:00,0.0,0.0,0.0,0.0,0.0549907684,0.0,0.0024925000000000004,0.44,0.44,0.0,0.0,0.069435,0.0,0.0,0.0
21143,2012-04-01 04:00:00,0.0,0.0,0.0,0.0,0.0552139282,0.02,0.0474874998,0.5,0.5,0.0,0.0,0.08315750000000002,0.0,0.0,0.0
21143,2012-04-01 05:00:00,0.0,0.0,0.0,0.0,0.0549430848,0.02,0.0024849998,0.45999999999999996,0.46,0.0,0.0,0.09507500020000001,0.0,0.0,0.0
21143,2012-04-01 06:00:00,0.0,0.0,0.0,0.0,0.0547885894,0.0,0.012739999999999998,0.8,0.7999999999999999,0.0,0.0,0.051684166600000005,0.0,0.0,0.0
21143,2012-04-01 07:00:00,0.0,0.0,0.0,0.0,0.0549621582,0.02,0.0359925,1.2000000000000002,1.2000000000000002,0.0,0.72,0.09464499980000002,0.0,0.0,0.0
21143,2012-04-01 08:00:00,0.0,0.0,0.0,0.0,0.1781984184,0.8400000000000001,0.0024925,6.04,6.04,0.0,4.52,0.055104166399999994,0.0,0.0,0.0
21143,2012-04-01 09:00:00,0.0,0.0,0.0,1.54,0.37358215940000006,0.82,0.0562241668,8.2,8.200000000000001,0.0,4.72,0.0906616666,0.0,0.0,0.0
21143,2012-04-01 10:00:00,0.0,0.0,0.0,0.0,0.36626098640000004,0.8,0.0507058334,5.000000000000001,5.0,0.0,2.7,0.08227333319999999,0.0,0.0,0.0
21143,2012-04-01 11:00:00,0.0,0.0,0.0,0.0,0.1483611628,0.32,0.0474841664,2.46,2.46,0.0,1.24,0.0625458334,0.0,0.0,0.0
21143,2012-04-01 12:00:00,0.0,0.0,0.0,0.22,0.056446075400000004,0.32,0.047757499999999994,0.8799999999999999,0.88,0.0,0.0,0.0919958332,0.0,0.0,0.0
21143,2012-04-01 13:00:00,0.0,0.0,0.0,0.12,0.24538357980000003,0.8,0.0025016666,2.7,2.7,0.0,0.82,0.0612,0.0,0.0,0.0
21143,2012-04-01 14:00:00,0.0,0.0,0.0,0.0,0.37300234499999996,0.66,0.04573749999999999,1.56,1.56,0.0,0.0,0.07985833319999999,0.0,0.0,0.0
21143,2012-04-01 15:00:00,0.0,0.0,0.0,0.0,0.1036530446,0.02,0.0457833334,3.32,3.3200000000000003,0.0,0.0,0.0979666666,0.0,0.0,0.0
21143,2012-04-01 16:00:00,0.0,0.0,0.0,0.26,0.276242237,0.02,0.0318999998,3.4,3.4,0.0,1.48,0.07986499999999999,0.0,0.2528516666,0.0
21143,2012-04-01 17:00:00,0.0,0.0,0.0,0.0,0.342010233,0.02,0.028069166800000003,2.3200000000000003,2.3200000000000003,0.0,1.56,0.1093383332,0.0,0.0,0.0
21143,2012-04-01 18:00:00,0.0,0.0,0.0,0.0,0.37016922899999993,0.0,0.0496299998,0.76,0.76,0.0,0.0,0.06593,0.0,0.0,0.0
21143,2012-04-01 19:00:00,0.0,0.0,0.0,0.0,0.372596954,0.02,0.04895333340000001,1.1600000000000001,1.1600000000000001,0.0,0.0,0.10196000000000001,0.0,0.0,0.0
21143,2012-04-01 20:00:00,0.0,0.0,0.0,0.0,0.3711714322,0.0,0.048461666800000004,1.1,1.1,0.0,0.0,0.0991008334,0.0,0.0,0.0
21143,2012-04-01 21:00:00,0.0,0.0,0.0,0.0,0.2186504082,0.02,0.0024116666,2.1,2.1,0.0,1.12,0.06837250019999999,0.0,0.0,0.0
21143,2012-04-01 22:00:00,0.0,0.0,0.0,0.0,0.054843902599999994,0.02,0.04760333319999999,0.78,0.78,0.0,0.0,0.1080316666,0.0,0.0,0.0
21143,2012-04-01 23:00:00,0.0,0.0,0.0,0.0,0.0550193786,0.0,0.0478499998,0.74,0.74,0.0,0.0,0.08756416659999999,0.0,0.0,0.0
21143,2012-04-02 00:00:00,0.0,0.0,0.0,0.0,0.056039810200000005,0.02,0.0024506668,1.34,1.34,0.0,0.6,0.0750668334,0.0,0.0,0.0
21143,2012-04-02 01:00:00,0.0,0.0,0.0,0.0,0.056362152,0.02,0.04453266679999999,0.78,0.78,0.0,0.0,0.10410149999999999,0.0,0.0,0.0
21143,2012-04-02 02:00:00,0.0,0.0,0.0,0.0,0.0566844942,0.0,0.0466786664,0.74,0.74,0.0,0.0,0.0854891666,0.0,0.0,0.0
21143,2012-04-02 03:00:00,0.0,0.0,0.0,0.0,0.0561389922,0.02,0.0024716668,0.72,0.72,0.0,0.0,0.0691416664,0.0,0.0,0.0
21143,2012-04-02 04:00:00,0.0,0.0,0.0,0.0,0.056222915600000006,0.02,0.044594166600000006,0.76,0.76,0.0,0.0,0.09730666639999999,0.0,0.0,0.0
21143,2012-04-02 05:00:00,0.0,0.0,0.0,0.0,0.056295395,0.0,0.0024733334,1.7200000000000002,1.72,0.0,0.64,0.0837933332,0.0,0.0,0.0
21143,2012-04-02 06:00:00,0.0,0.0,0.0,0.0,0.2599722888,0.9600000000000001,0.0472641668,6.9,6.8999999999999995,0.0,4.44,0.3000199998,0.0,0.0,0.0
21143,2012-04-02 07:00:00,0.0,0.0,0.0,0.0,0.3758081836,0.74,0.0476383332,5.6,5.6,0.0,2.96,0.3156778332,0.0,0.0,0.0
21143,2012-04-02 08:00:00,0.0,0.0,0.0,0.0,0.34651496140000004,0.7000000000000001,0.032502500000000004,6.92,6.92,0.0,5.340000000000001,0.2544254998,0.0,0.0,0.0
21143,2012-04-02 09:00:00,0.0,0.0,0.0,0.0,0.17598530359999998,0.7,0.0196575,1.6199999999999999,1.6199999999999999,0.0,0.78,0.08555083320000001,0.0,0.0,0.0
21143,2012-04-02 10:00:00,0.0,0.0,0.0,0.0,0.326984563,0.6200000000000001,0.04749250000000001,0.6599999999999999,0.66,0.0,0.0,0.0789641666,0.0,0.0,0.0
21143,2012-04-02 11:00:00,0.0,0.0,0.0,0.3,0.05678749079999999,0.5800000000000001,0.0519516668,3.1,3.1,0.0,2.04,0.1899208336,0.0,0.0,0.0
21143,2012-04-02 12:00:00,0.0,0.0,0.0,0.0,0.0570831298,0.5,0.0469183332,3.04,3.04,0.0,1.3599999999999999,0.2189658334,0.0,0.0,0.0
21143,2012-04-02 13:00:00,0.0,0.0,0.0,0.0,0.05715751659999999,0.45999999999999996,0.0068516668,3.1399999999999997,3.1399999999999997,0.0,0.58,0.0641658334,0.0,0.0,0.0
21143,2012-04-02 14:00:00,0.0,0.0,0.0,0.0,0.0566596986,0.42,0.047816666800000004,2.7199999999999998,2.72,0.0,0.0,0.1190066664,0.0,0.0,0.0
21143,2012-04-02 15:00:00,0.0,0.0,0.0,0.0,0.0567874908,0.36,0.0479408332,2.58,2.58,0.0,0.54,0.10804916680000001,0.0,0.0,0.0
21143,2012-04-02 16:00:00,0.0,0.0,0.0,0.0,0.055969238,0.14,0.0480475,2.9800000000000004,2.9799999999999995,0.0,0.48,0.0795066666,0.0,0.0,0.0
21143,2012-04-02 17:00:00,0.0,0.0,0.0,0.0,0.0555210112,0.02,0.0024233334,1.54,1.54,0.0,0.0,0.1132391666,0.0,0.0,0.0
21143,2012-04-02 18:00:00,0.0,0.0,0.0,0.0,0.2797406376,0.02,0.36336333340000004,1.2600000000000002,1.26,0.0,0.52,0.0960441668,0.0,0.0,0.0
21143,2012-04-02 19:00:00,0.0,0.0,0.0,0.0,0.370572571,0.0,0.0522208336,1.6800000000000002,1.68,0.0,0.74,0.07682583339999999,0.0,0.0,0.0
21143,2012-04-02 20:00:00,0.0,0.0,0.0,0.0,0.236338873,0.02,0.022529166599999997,1.58,1.58,0.0,0.76,0.109275,0.0,0.0,0.0
21143,2012-04-02 21:00:00,0.0,0.0,0.0,0.0,0.0552101136,0.0,0.043751666599999996,0.5,0.5,0.0,0.0,0.0826413334,0.0,0.0,0.0
21143,2012-04-02 22:00:00,0.0,0.0,0.0,0.0,0.0550880432,0.02,0.0436083334,0.5800000000000001,0.5800000000000001,0.0,0.0,0.0857291668,0.0,0.0,0.0
21143,2012-04-02 23:00:00,0.0,0.0,0.0,0.0,0.05512237539999999,0.02,0.05002499999999999,0.56,0.56,0.0,0.0,0.10524750000000001,0.0,0.0,0.0
21143,2012-04-03 00:00:00,0.0,0.0,0.0,0.0,0.055265426799999996,0.0,0.047667833400000005,0.5,0.5,0.0,0.0,0.0713923332,0.0,0.0,0.0
21143,2012-04-03 01:00:00,0.0,0.0,0.0,0.0,0.055112838799999994,0.02,0.0496979998,0.54,0.54,0.0,0.0,0.0873123334,0.0,0.0,0.0
21143,2012-04-03 02:00:00,0.0,0.0,0.0,0.0,0.0559444428,0.02,0.0481586668,0.6200000000000001,0.62,0.0,0.08,0.1028428334,0.0,0.0,0.0
21143,2012-04-03 03:00:00,0.0,0.0,0.0,0.0,0.055131912000000005,0.0,0.048765,1.06,1.06,0.0,0.56,0.0588709998,0.0,0.0,0.0
21143,2012-04-03 04:00:00,0.0,0.0,0.0,0.0,0.0548038482,0.02,0.0024333334,0.5,0.5,0.0,0.0,0.09885499980000001,0.0,0.0,0.0
21143,2012-04-03 05:00:00,0.0,0.0,0.0,0.0,0.05525016780000001,0.02,0.047029999999999995,0.8600000000000001,0.86,0.0,0.0,0.08992250019999998,0.0,0.0,0.0
21143,2012-04-03 06:00:00,0.0,0.0,0.0,0.0,0.169080807,0.54,0.046877500200000005,4.9399999999999995,4.94,0.0,3.2,0.0623358332,0.0,0.0,0.0
21143,2012-04-03 07:00:00,0.0,0.0,0.0,0.0,0.37163408240000007,0.64,0.016751666600000003,3.8200000000000003,3.82,0.0,1.78,0.1035866664,0.0,0.0,0.0
21143,2012-04-03 08:00:00,0.0,0.0,0.0,0.0,0.3524151874,0.6000000000000001,0.035070833399999994,6.2,6.2,0.0,4.4,0.0777808334,0.0,0.0,0.0
21143,2012-04-03 09:00:00,0.0,0.0,0.0,0.0,0.3564162538,0.56,0.04765,2.1999999999999997,2.2,0.0,0.96,0.07913766680000002,0.0,0.0,0.0
21143,2012-04-03 10:00:00,0.0,0.0,0.0,0.0,0.34811750599999997,0.56,0.047844166800000004,1.04,1.04,0.0,0.0,0.09731833320000001,0.0,0.0,0.0
21143,2012-04-03 11:00:00,0.0,0.0,0.0,0.4,0.13697982079999999,0.54,0.0034083334,3.04,3.04,0.0,0.54,1.8247058329999999,0.0,0.0,0.0
21143,2012-04-03 12:00:00,0.0,0.0,0.0,0.0,0.055837631400000004,0.48000000000000004,0.0520291666,2.3600000000000003,2.36,0.0,1.02,0.10121250000000001,0.0,0.0,0.0
21143,2012-04-03 13:00:00,0.0,0.0,0.0,0.0,0.0553874968,0.44000000000000006,0.0519783332,2.8600000000000003,2.8600000000000003,0.0,0.98,0.16664533339999998,0.0,0.0,0.0
21143,2012-04-03 14:00:00,0.0,0.0,0.0,0.0,0.0554275512,0.4,0.0495365,3.82,3.82,0.0,1.46,0.9882688333999999,0.0,0.0,0.0
21143,2012-04-03 15:00:00,0.0,0.0,0.0,0.0,0.055398941,0.36000000000000004,0.0211080002,2.92,2.9200000000000004,0.0,0.0,0.2128743334,0.0,0.0,0.0
