siteid,time,InteriorLighting,Ventilation,Heating,Cooking,Electronics,HeatCool,Refrigeration,Service,Total,Panel,WaterHeating,Appliances,ExteriorLighting,Miscellaneous,Cooling
14012,2012-04-01 00:00:00,0.0,0.0,0.0024906666,0.0,0.0052859783999999995,0.0,0.27764283300000003,3.02,3.02,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 01:00:00,0.0,0.0,0.0025085,0.0,0.0053133964,0.0,0.165520833,2.5399999999999996,2.54,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 02:00:00,0.0,0.0,0.0024998332,0.0,0.0053145888,0.0,0.4217338334,1.9200000000000002,1.92,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 03:00:00,0.0,0.0,0.0024905002,0.0,0.1663013158,0.0,0.270131,1.44,1.4400000000000002,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 04:00:00,0.0,0.0,0.0025435002,0.0,0.3561489156,0.0,0.4111396668,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 05:00:00,0.0,0.0,0.0025358332,0.0,0.051121686799999996,0.0,0.6801513334,1.34,1.3399999999999999,0.0,0.0,0.02,0.0,0.0,0.0
14012,2012-04-01 06:00:00,0.0,0.0,0.002554,0.0,0.0053033828,0.0,0.3674914998,1.28,1.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 07:00:00,0.0,0.0,0.0025466666,0.0,0.005289316400000001,0.0,0.18976383319999998,1.4400000000000002,1.44,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 08:00:00,0.0,0.0,0.0025533333999999998,0.0,0.0052943232,0.0,0.28392383340000005,1.2200000000000002,1.22,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 09:00:00,0.0,0.0,0.0025525,0.0,0.0052862168,0.0,0.2724558332,1.1400000000000001,1.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 10:00:00,0.0,0.0,0.0025583334,0.0,0.005276203199999999,0.0,0.2813718334,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0
14012,2012-04-01 11:00:00,0.0,0.0,0.0025550002,0.0,0.0052559376,0.0,0.2208233334,2.5799999999999996,2.58,0.0,0.0,0.02,0.0,0.0,0.0
14012,2012-04-01 12:00:00,0.0,0.0,0.0025433332,0.0,0.0052886008,0.0,0.2845303332,2.3600000000000003,2.36,0.0,0.0,0.0,0.0,0.0,0.0
