siteid,time,InteriorLighting,Ventilation,Heating,Cooking,Electronics,HeatCool,Refrigeration,Service,Total,Panel,WaterHeating,Appliances,ExteriorLighting,Miscellaneous,Cooling
14174,2012-04-01 00:00:00,0.11599999999999999,0.0,0.0,0.0,0.0,0.0,0.2084391666,2.7800000000000002,2.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.98,0.2091525,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 02:00:00,0.0018,0.0,0.0,0.0,0.0,0.7200000000000001,0.17699749999999997,3.6199999999999997,3.62,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 03:00:00,0.0,0.0,0.0,0.0,0.0,1.32,0.16680499980000002,3.8400000000000003,3.84,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.2,0.13299583339999999,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.1277401668,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.1377038332,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 07:00:00,0.30697777779999996,0.0,0.0,0.0,0.0,0.0,0.1524543334,1.8800000000000003,1.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 08:00:00,0.6,0.0,0.0,0.0,0.0,0.42,0.13420266660000002,3.0600000000000005,3.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 09:00:00,0.613921111,0.0,0.0,1.38,0.0,0.24000000000000002,0.2946100002,4.48,4.48,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 10:00:00,0.6,0.0,0.0,0.46,0.0,0.42000000000000004,0.1749106668,4.12,4.12,0.0,0.0,0.0,0.0,0.0,0.0
14174,2012-04-01 11:00:00,0.6,0.0,0.0,0.0,0.0,0.42,0.1889378332,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0
