siteid,time,InteriorLighting,Ventilation,Heating,Cooking,Electronics,HeatCool,Refrigeration,Service,Total,Panel,WaterHeating,Appliances,ExteriorLighting,Miscellaneous,Cooling
22138,2012-04-01 00:00:00,0.0,0.0,0.0,0.64,0.2806878332,0.0,0.1664618332,1.7800000000000002,1.7799999999999998,0.0,0.0,0.0,0.0,0.22,0.0
22138,2012-04-01 01:00:00,0.0616444444,0.0,0.0,0.46,0.23301333319999998,0.0,0.16742866680000001,2.6,2.5999999999999996,0.0,0.9199999999999999,0.0,0.0,0.22,0.0
22138,2012-04-01 02:00:00,0.0273,0.0,0.0,0.0,0.12063866660000001,0.0,0.09418166659999999,0.96,0.96,0.0,0.0,0.0,0.0,0.22,0.0
22138,2012-04-01 03:00:00,0.0,0.0,0.0,0.0,0.1195053336,0.0,0.1462918332,0.9800000000000001,0.98,0.0,0.0,0.0,0.0,0.26,0.0
22138,2012-04-01 04:00:00,0.08487111119999999,0.0,9.06,0.0,0.1190999996,0.0,0.14709266640000002,10.4,10.399999999999999,0.0,0.0,0.0,0.0,0.30000000000000004,0.0
22138,2012-04-01 05:00:00,0.1118,0.0,7.3673058334,0.0,0.1185259998,0.0,0.0917176666,10.059999999999999,10.06,0.0,1.48,0.0,0.0,0.38,0.0
22138,2012-04-01 06:00:00,1.1109727778,0.0,10.42,0.0,0.1864913332,0.0,0.1596096666,15.74,15.74,0.0,1.58,0.0,0.0,0.48000000000000004,0.0
22138,2012-04-01 07:00:00,0.6851055556,0.0,8.16,0.28,0.1414965,0.0,0.1738246668,17.02,17.02,0.0,6.0,0.0,0.0,0.48,0.0
22138,2012-04-01 08:00:00,0.2300444446,0.0,8.38,0.0,0.1168861666,0.0,0.11631649999999999,10.100000000000001,10.100000000000001,0.0,0.88,0.0,0.0,0.08,0.0
22138,2012-04-01 09:00:00,0.0414222222,0.0,11.100000000000001,0.0,0.2420675002,0.0,0.1197524998,11.84,11.84,0.0,0.0,0.0,0.0,0.06,0.0
22138,2012-04-01 10:00:00,0.6834333332,0.0,12.12,0.0,0.188695,0.0,0.16543750019999998,18.62,18.62,0.0,4.88,0.0,0.0,0.4600000000000001,0.0
22138,2012-04-01 11:00:00,0.07763888880000001,0.0,7.9,0.78,0.1747433332,0.0,0.1370858334,13.959999999999999,13.959999999999999,0.0,4.4399999999999995,0.0,0.0,0.24,0.0
22138,2012-04-01 12:00:00,0.0277666666,0.0,6.2,0.0,0.21741,0.0,0.1813175,7.740000000000001,7.74,0.0,0.16,0.0,0.0,0.56,0.0
22138,2012-04-01 13:00:00,0.0263111112,0.0,8.178315833400001,0.2,0.37870333319999994,0.0,0.2354873334,13.8,13.8,0.0,1.0,0.0,0.0,3.02,0.0
22138,2012-04-01 14:00:00,0.2229333334,0.0,3.7760716666,0.0,0.319921667,0.0,0.197211,5.380000000000001,5.38,0.0,0.0,0.0,0.0,0.1,0.0
22138,2012-04-01 15:00:00,0.0,0.0,3.1,0.82,0.11871499999999999,0.0,0.1734485,5.82,5.82,0.0,0.88,0.0,0.0,0.16,0.0
22138,2012-04-01 16:00:00,0.052444444400000005,0.0,1.04,0.6799999999999999,0.2458725002,0.0,0.18719083340000003,6.84,6.84,0.0,2.5999999999999996,0.9999999999999999,0.0,0.26,0.0
22138,2012-04-01 17:00:00,0.25653333320000005,0.0,2.1581883334,1.5999999999999999,0.43894,0.0,0.11217216660000001,8.400000000000002,8.4,0.0,1.5,0.9600000000000001,0.0,0.12,0.0
22138,2012-04-01 18:00:00,0.10897777780000001,0.0,0.489895,0.44,0.3778391666,0.0,0.1828568332,5.84,5.840000000000001,0.0,3.0,0.0,0.0,0.22,0.0
22138,2012-04-01 19:00:00,0.3036888886,0.0,3.1924408334,0.52,0.4041483334,0.0,0.1296318334,9.5,9.5,0.0,4.140000000000001,0.0,0.0,0.36000000000000004,0.0
22138,2012-04-01 20:00:00,0.5007777778,0.0,3.02,0.44,0.36122666700000006,0.0,0.1477916668,14.98,14.98,0.0,8.76,0.7999999999999999,0.0,0.7400000000000001,0.0
22138,2012-04-01 21:00:00,0.1159111112,0.0,5.5,0.2,0.4084383336,0.0,0.14805333340000001,18.96,18.96,0.0,3.0,7.66,0.0,1.2200000000000002,0.0
22138,2012-04-01 22:00:00,0.105777778,0.0,1.08,0.0,0.2898041668,0.0,0.1497691668,5.720000000000001,5.72,0.0,1.22,1.8,0.0,0.2,0.0
22138,2012-04-01 23:00:00,0.1393,0.0,0.0,0.0,0.2836399998,0.0,0.14099916680000002,2.42,2.42,0.0,0.0,0.0,0.0,1.2400000000000002,0.0
22138,2012-04-02 00:00:00,0.11335555559999999,0.0,0.0,0.0,0.2767983332,0.0,0.0844608332,6.46,6.46,0.0,0.0,0.0,0.0,4.12,0.0
22138,2012-04-02 01:00:00,0.06866666660000001,0.0,0.0,0.0,0.1965451664,0.0,0.1346946666,4.98,4.98,0.0,1.02,0.0,0.0,1.86,0.0
22138,2012-04-02 02:00:00,0.0,0.0,0.0,0.0,0.1200694998,0.0,0.1342008334,2.08,2.08,0.0,0.0,0.0,0.0,0.34,0.0
22138,2012-04-02 03:00:00,0.0,0.0,0.0,0.0,0.12205549980000002,0.0,0.0744658334,2.6999999999999997,2.7,0.0,0.0,0.0,0.0,0.9800000000000002,0.0
22138,2012-04-02 04:00:00,0.0,0.0,0.0,0.0,0.1224233336,0.0,0.1240883332,1.9000000000000004,1.9,0.0,0.0,0.0,0.0,0.22,0.0
22138,2012-04-02 05:00:00,0.06887166659999999,0.0,36.660000000000004,0.0,0.1159791664,0.0,0.1344583332,39.66,39.66,0.0,0.0,0.0,0.0,1.2600000000000002,0.0
22138,2012-04-02 06:00:00,0.1657266668,0.0,26.1,0.0,0.1151008332,0.0,0.07393,28.279999999999998,28.28,0.0,0.0,0.0,0.0,0.36000000000000004,0.0
22138,2012-04-02 07:00:00,0.3140333334,0.0,18.74,0.22,0.1494753334,0.0,0.1410366666,22.48,22.479999999999997,0.0,1.22,0.0,0.0,0.94,0.0
22138,2012-04-02 08:00:00,0.0528888888,0.0,12.24,0.0,0.1585698332,0.0,0.13941666679999998,14.260000000000002,14.260000000000002,0.0,1.1,0.0,0.0,0.39999999999999997,0.0
22138,2012-04-02 09:00:00,0.2528,0.0,9.38,0.0,0.117719167,0.0,0.1062976666,11.86,11.86,0.0,1.2000000000000002,0.0,0.0,0.48,0.0
22138,2012-04-02 10:00:00,0.64,0.0,4.640000000000001,0.0,0.11783066639999999,0.0,0.10948716680000001,5.920000000000001,5.92,0.0,0.0,0.0,0.0,0.08,0.0
22138,2012-04-02 11:00:00,0.64,0.0,9.6,0.0,0.1176191666,0.0,0.1408041666,10.9,10.9,0.0,0.0,0.0,0.0,0.08,0.0
22138,2012-04-02 12:00:00,0.6353777778,0.0,7.82,0.0,0.12117116639999997,0.0,0.1279366666,9.719999999999999,9.72,0.0,0.4,0.0,0.0,0.16,0.0
22138,2012-04-02 13:00:00,0.0,0.0,5.8999999999999995,1.34,0.11832299980000001,0.0,0.104545,8.9,8.9,0.0,0.72,0.0,0.0,0.24000000000000002,0.0
22138,2012-04-02 14:00:00,0.2549333334,0.0,2.2713148334,0.0,0.1636058336,0.0,0.1735533332,6.460000000000001,6.46,0.0,0.94,0.0,0.0,1.94,0.0
22138,2012-04-02 15:00:00,0.0,0.0,3.661962,0.0,0.3048710002,0.0,0.1348291666,6.840000000000001,6.84,0.0,0.0,0.0,0.0,2.4000000000000004,0.0
22138,2012-04-02 16:00:00,0.5875999999999999,0.0,0.0,0.0,0.1545991666,0.0,0.0928325,7.039999999999999,7.04,0.0,3.06,0.0,0.0,1.8199999999999998,0.0
22138,2012-04-02 17:00:00,0.1563333334,0.0,0.0,0.0,0.1181075002,0.0,0.353005,4.08,4.08,0.0,2.56,0.0,0.0,0.24000000000000002,0.0
22138,2012-04-02 18:00:00,0.4698666668,0.0,0.0,0.0,0.1407499998,0.0,0.1040638334,1.42,1.4200000000000002,0.0,0.0,0.0,0.0,0.1,0.0
22138,2012-04-02 19:00:00,0.2830222222,0.0,0.0,0.0,0.26188450020000004,0.0,0.1678483334,2.34,2.34,0.0,0.8400000000000001,0.02,0.0,0.16,0.0
22138,2012-04-02 20:00:00,0.61505,0.0,0.0,0.48,0.256496,0.0,0.1546770002,5.640000000000001,5.640000000000001,0.0,2.08,0.9400000000000001,0.0,0.22,0.0
22138,2012-04-02 21:00:00,0.222577778,0.0,0.0,0.28,0.27468066680000003,0.0,0.11364666679999999,4.6,4.6000000000000005,0.0,1.22,1.1600000000000001,0.0,0.34,0.0
22138,2012-04-02 22:00:00,0.0588666666,0.0,0.0,0.08,0.2718485,0.0,0.17018416679999998,2.24,2.2399999999999998,0.0,0.92,0.0,0.0,0.28,0.0
22138,2012-04-02 23:00:00,0.0,0.0,0.0,0.0,0.2746623332,0.0,0.1096308332,1.82,1.82,0.0,0.0,0.0,0.0,0.9199999999999999,0.0
22138,2012-04-03 00:00:00,0.0,0.0,0.0,0.0,0.2787188332,0.0,0.1141625,1.34,1.34,0.0,0.0,0.0,0.0,0.48,0.0
22138,2012-04-03 01:00:00,0.0,0.0,0.0,0.0,0.275943,0.0,0.14097666679999998,3.48,3.48,0.0,0.82,0.0,0.0,1.8000000000000003,0.0
22138,2012-04-03 02:00:00,0.0,0.0,0.0,0.0,0.2758603336,0.0,0.07176499999999998,4.8999999999999995,4.9,0.0,0.0,0.0,0.0,4.119999999999999,0.0
22138,2012-04-03 03:00:00,0.0508444444,0.0,0.0,0.0,0.2291593334,0.0,0.13736033320000002,2.9000000000000004,2.9,0.0,0.0,0.0,0.0,1.8800000000000001,0.0
22138,2012-04-03 04:00:00,0.0,0.0,0.0,0.0,0.11918083300000001,0.0,0.0705133334,1.7,1.7,0.0,0.0,0.0,0.0,1.04,0.0
22138,2012-04-03 05:00:00,0.0,0.0,36.620000000000005,0.0,0.1165728332,0.0,0.13946999999999998,38.04,38.04,0.0,0.0,0.0,0.0,1.28,0.0
22138,2012-04-03 06:00:00,0.27795666659999996,0.0,27.580000000000002,0.0,0.11842916640000001,0.0,0.0816958334,29.26,29.259999999999998,0.0,0.06,0.0,0.0,0.44000000000000006,0.0
22138,2012-04-03 07:00:00,0.2234444444,0.0,22.06,0.0,0.15770483359999998,0.0,0.1486765,25.380000000000003,25.38,0.0,1.14,0.0,0.0,1.1,0.0
22138,2012-04-03 08:00:00,0.4055227778,0.0,17.48,0.19999999999999998,0.2325781666,0.0,0.11830749999999998,22.279999999999998,22.279999999999998,0.0,0.0,0.0,0.0,1.6400000000000001,0.0
22138,2012-04-03 09:00:00,0.5946666666,0.0,13.2,0.0,0.1169546666,0.0,0.10784916660000002,21.340000000000003,21.34,0.0,1.7000000000000002,0.0,0.0,3.8000000000000003,0.0
